SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-24-2017,Single Family Residential,2373 Plateau Dr,SAN JOSE,CA,95125,840000,3,3,SAN JOSE,1620,1396,2004,684,519,199,Sold,,,http://www.redfin.com/CA/San-Jose/2373-Plateau-Dr-95125/home/1206813,MLSListings,ML81677533,N,Y,37.295288,-121.865445
PAST SALE,November-23-2016,Condo/Co-op,801 S Winchester Blvd #4214,SAN JOSE,CA,95128,635000,2,2,SAN JOSE,1022,892,2005,1019,621,267,Sold,,,http://www.redfin.com/CA/San-Jose/801-S-Winchester-Blvd-95128/unit-4214/home/2123908,MLSListings,ML81627073,N,Y,37.3126263,-121.9504446
PAST SALE,March-10-2017,Condo/Co-op,88 Bush St #3103,SAN JOSE,CA,95126,600000,1,1,SAN JOSE,835,476,2008,912,719,386,Sold,,,http://www.redfin.com/CA/San-Jose/88-Bush-St-95126/unit-3103/home/17288092,MLSListings,ML81637235,N,Y,37.3305382,-121.9041595
PAST SALE,,Single Family Residential,3507 Joseph Sorci Pl,San Jose,CA,95148,1750000,5,4.5,,3718,6011,2004,,471,,,,,http://www.redfin.com/CA/San-Jose/3507-Joseph-Sorci-Pl-95148/home/17292861,,,N,Y,37.3189034,-121.7686304
PAST SALE,December-6-2017,Single Family Residential,620 N 15th St,SAN JOSE,CA,95112,875000,2,1,SAN JOSE,1239,5125,1938,641,706,,Sold,,,http://www.redfin.com/CA/San-Jose/620-N-15th-St-95112/home/710138,MLSListings,ML81684082,N,Y,37.3544092,-121.8844332
PAST SALE,May-2-2018,Single Family Residential,1930 Loch Ness Way,SAN JOSE,CA,95121,910000,2,2,SAN JOSE,974,7122,1971,494,934,,Sold,,,http://www.redfin.com/CA/San-Jose/1930-Loch-Ness-Way-95121/home/789585,MLSListings,ML81701362,N,Y,37.306314,-121.806871
PAST SALE,September-25-2018,Single Family Residential,2435 La Ragione Ave,SAN JOSE,CA,95111,850000,3,2,SAN JOSE,1257,6076,1977,348,676,,Sold,,,http://www.redfin.com/CA/San-Jose/2435-La-Ragione-Ave-95111/home/1297111,MLSListings,ML81720716,N,Y,37.308557,-121.8438737
PAST SALE,August-8-2018,Townhouse,576 Giuffrida Ave #16,SAN JOSE,CA,95123,743000,3,2.5,SAN JOSE,1320,610,1981,396,563,361,Sold,,,http://www.redfin.com/CA/San-Jose/576-Giuffrida-Ave-95123/unit-16/home/870165,MLSListings,ML81710952,N,Y,37.2523821,-121.8350391
PAST SALE,September-17-2018,Single Family Residential,5349 Manderston Dr,SAN JOSE,CA,95138,1340000,3,2.5,SAN JOSE,1592,5240,1999,356,842,230,Sold,,,http://www.redfin.com/CA/San-Jose/5349-Manderston-Dr-95138/home/1389426,MLSListings,ML81719100,N,Y,37.2808872,-121.7711675
PAST SALE,February-23-2018,Single Family Residential,309 Vineyard Dr,SAN JOSE,CA,95119,1100000,4,2,SAN JOSE,1596,5666,1970,562,689,,Sold,,,http://www.redfin.com/CA/San-Jose/309-Vineyard-Dr-95119/home/1161977,MLSListings,ML81689757,N,Y,37.2244907,-121.7871456
